Location,Habitat,lat,lon,Year,Month,Day,Temperature
Moorea,Back Reef,-17.481,-149.841,2005,October,20,27.814
Moorea,Back Reef,-17.481,-149.841,2005,October,21,27.767
Moorea,Back Reef,-17.481,-149.841,2005,October,22,27.645
Moorea,Back Reef,-17.481,-149.841,2005,October,23,27.704
Moorea,Back Reef,-17.481,-149.841,2005,October,24,27.847
Moorea,Back Reef,-17.481,-149.841,2005,October,25,27.635
Moorea,Back Reef,-17.481,-149.841,2005,October,26,27.450
Moorea,Back Reef,-17.481,-149.841,2005,October,27,27.561
Moorea,Back Reef,-17.481,-149.841,2005,October,28,27.492
Moorea,Back Reef,-17.481,-149.841,2005,October,29,27.590
Moorea,Back Reef,-17.481,-149.841,2005,October,30,27.781
Moorea,Back Reef,-17.481,-149.841,2005,October,31,27.931
Moorea,Back Reef,-17.481,-149.841,2005,November,1,27.933
Moorea,Back Reef,-17.481,-149.841,2005,November,2,28.405
Moorea,Back Reef,-17.481,-149.841,2005,November,3,28.391
Moorea,Back Reef,-17.481,-149.841,2005,November,4,28.494
Moorea,Back Reef,-17.481,-149.841,2005,November,5,28.388
Moorea,Back Reef,-17.481,-149.841,2005,November,6,28.225
Moorea,Back Reef,-17.481,-149.841,2005,November,7,28.282
Moorea,Back Reef,-17.481,-149.841,2005,November,8,28.477
Moorea,Back Reef,-17.481,-149.841,2005,November,9,28.489
Moorea,Back Reef,-17.481,-149.841,2005,November,10,28.372
Moorea,Back Reef,-17.481,-149.841,2005,November,11,28.115
Moorea,Back Reef,-17.481,-149.841,2005,November,12,27.983
Moorea,Back Reef,-17.481,-149.841,2005,November,13,28.092
Moorea,Back Reef,-17.481,-149.841,2005,November,14,28.326
Moorea,Back Reef,-17.481,-149.841,2005,November,15,28.210
Moorea,Back Reef,-17.481,-149.841,2005,November,16,28.200
Moorea,Back Reef,-17.481,-149.841,2005,November,17,28.218
Moorea,Back Reef,-17.481,-149.841,2005,November,18,28.120
Moorea,Back Reef,-17.481,-149.841,2005,November,19,28.244
Moorea,Back Reef,-17.481,-149.841,2005,November,20,28.161
Moorea,Back Reef,-17.481,-149.841,2005,November,21,28.220
Moorea,Back Reef,-17.481,-149.841,2005,November,22,28.208
Moorea,Back Reef,-17.481,-149.841,2005,November,23,28.395
Moorea,Back Reef,-17.481,-149.841,2005,November,24,28.614
Moorea,Back Reef,-17.481,-149.841,2005,November,25,29.151
Moorea,Back Reef,-17.481,-149.841,2005,November,26,29.236
Moorea,Back Reef,-17.481,-149.841,2005,November,27,29.285
Moorea,Back Reef,-17.481,-149.841,2005,November,28,29.343
Moorea,Back Reef,-17.481,-149.841,2005,November,29,29.580
Moorea,Back Reef,-17.481,-149.841,2005,November,30,29.222
Moorea,Back Reef,-17.481,-149.841,2005,December,1,29.150
Moorea,Back Reef,-17.481,-149.841,2005,December,2,29.241
Moorea,Back Reef,-17.481,-149.841,2005,December,3,29.296
Moorea,Back Reef,-17.481,-149.841,2005,December,4,29.347
Moorea,Back Reef,-17.481,-149.841,2005,December,5,29.263
Moorea,Back Reef,-17.481,-149.841,2005,December,6,29.194
Moorea,Back Reef,-17.481,-149.841,2005,December,7,29.192
Moorea,Back Reef,-17.481,-149.841,2005,December,8,28.945
Moorea,Back Reef,-17.481,-149.841,2005,December,9,28.661
Moorea,Back Reef,-17.481,-149.841,2005,December,10,28.417
Moorea,Back Reef,-17.481,-149.841,2005,December,11,28.447
Moorea,Back Reef,-17.481,-149.841,2005,December,12,28.620
Moorea,Back Reef,-17.481,-149.841,2005,December,13,28.625
Moorea,Back Reef,-17.481,-149.841,2005,December,14,28.561
Moorea,Back Reef,-17.481,-149.841,2005,December,15,28.777
Moorea,Back Reef,-17.481,-149.841,2005,December,16,29.086
Moorea,Back Reef,-17.481,-149.841,2005,December,17,29.110
Moorea,Back Reef,-17.481,-149.841,2005,December,18,29.336
Moorea,Back Reef,-17.481,-149.841,2005,December,19,29.542
Moorea,Back Reef,-17.481,-149.841,2005,December,20,29.158
Moorea,Back Reef,-17.481,-149.841,2005,December,21,28.935
Moorea,Back Reef,-17.481,-149.841,2005,December,22,28.945
Moorea,Back Reef,-17.481,-149.841,2005,December,23,29.076
Moorea,Back Reef,-17.481,-149.841,2005,December,24,29.576
Moorea,Back Reef,-17.481,-149.841,2005,December,25,29.493
Moorea,Back Reef,-17.481,-149.841,2005,December,26,29.574
Moorea,Back Reef,-17.481,-149.841,2005,December,27,29.555
Moorea,Back Reef,-17.481,-149.841,2005,December,28,29.434
Moorea,Back Reef,-17.481,-149.841,2005,December,29,29.237
Moorea,Back Reef,-17.481,-149.841,2005,December,30,29.064
Moorea,Back Reef,-17.481,-149.841,2005,December,31,29.082
Moorea,Back Reef,-17.481,-149.841,2006,January,1,29.246
Moorea,Back Reef,-17.481,-149.841,2006,January,2,29.411
Moorea,Back Reef,-17.481,-149.841,2006,January,3,29.405
Moorea,Back Reef,-17.481,-149.841,2006,January,4,29.433
Moorea,Back Reef,-17.481,-149.841,2006,January,5,29.505
Moorea,Back Reef,-17.481,-149.841,2006,January,6,29.424
Moorea,Back Reef,-17.481,-149.841,2006,January,7,29.377
Moorea,Back Reef,-17.481,-149.841,2006,January,8,29.428
Moorea,Back Reef,-17.481,-149.841,2006,January,9,29.302
Moorea,Back Reef,-17.481,-149.841,2006,January,10,29.163
Moorea,Back Reef,-17.481,-149.841,2006,January,11,28.945
Moorea,Back Reef,-17.481,-149.841,2006,January,12,29.046
Moorea,Back Reef,-17.481,-149.841,2006,January,13,29.138
Moorea,Back Reef,-17.481,-149.841,2006,January,14,29.072
Moorea,Back Reef,-17.481,-149.841,2006,January,15,29.021
Moorea,Back Reef,-17.481,-149.841,2006,January,16,29.142
Moorea,Back Reef,-17.481,-149.841,2006,January,17,29.125
Moorea,Back Reef,-17.481,-149.841,2006,January,18,29.043
Moorea,Back Reef,-17.481,-149.841,2006,January,19,29.085
Moorea,Back Reef,-17.481,-149.841,2006,January,20,28.979
Moorea,Back Reef,-17.481,-149.841,2006,January,21,28.856
Moorea,Back Reef,-17.481,-149.841,2006,January,22,28.870
Moorea,Back Reef,-17.481,-149.841,2006,January,23,28.847
Moorea,Back Reef,-17.481,-149.841,2006,January,24,28.937
Moorea,Back Reef,-17.481,-149.841,2006,January,25,29.053
Moorea,Back Reef,-17.481,-149.841,2006,January,26,28.961
Moorea,Back Reef,-17.481,-149.841,2006,January,27,29.034
Moorea,Back Reef,-17.481,-149.841,2006,January,28,28.509
Moorea,Back Reef,-17.481,-149.841,2006,January,29,28.413
Moorea,Back Reef,-17.481,-149.841,2006,January,30,28.559
Moorea,Back Reef,-17.481,-149.841,2006,January,31,28.602
Moorea,Back Reef,-17.481,-149.841,2006,February,1,28.679
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,2,28.754
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,3,28.722
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,4,28.783
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,5,28.967
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,6,28.879
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,7,28.655
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,8,28.588
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,9,28.709
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,10,28.693
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,11,28.898
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,12,29.013
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,13,29.130
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,14,29.221
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,15,28.881
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,16,28.710
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,17,28.649
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,18,28.726
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,19,28.640
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,20,28.796
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,21,28.908
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,22,28.846
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,23,28.976
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,24,29.053
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,25,29.144
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,26,29.152
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,27,29.211
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,28,29.180
Moorea,Back Reef,-17.481,-149.841,2006,Februrary,29,nd
Moorea,Back Reef,-17.481,-149.841,2006,March,1,29.196
Moorea,Back Reef,-17.481,-149.841,2006,March,2,29.372
Moorea,Back Reef,-17.481,-149.841,2006,March,3,29.479
Moorea,Back Reef,-17.481,-149.841,2006,March,4,29.252
Moorea,Back Reef,-17.481,-149.841,2006,March,5,29.169
Moorea,Back Reef,-17.481,-149.841,2006,March,6,29.266
